"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Stellar Burgers UI","0","Личный кабинет","6","0","","0"
"0","Stellar Burgers UI","0","Лента заказов","10","0","","0"
"0","Stellar Burgers UI","0","Основной функционал","12","0","","0"
"0","Stellar Burgers UI","0","Восстановление пароля","6","0","","0"
